Titre,Année de sortie,Type de jeu,Description,Console,Cover,Lien IGN,Note IGN,Lien Metacritic,Lien Jeuxvideo.com,Note Jeuxvideo.com,Note Metacritic
SOCOM II : U.S. Navy SEALs,2003,Tir tactique,"SOCOM II : U.S. Navy SEALs, paru en 2003 sur PS2, est une référence majeure du tir tactique militaire à la troisième personne. Le joueur y dirige une escouade de quatre commandos d'élite à travers des missions à haut risque aux quatre coins du globe. Le titre exige une planification rigoureuse, une utilisation judicieuse du camouflage et une excellente gestion des ordres tactiques.",PS2,socom-ii-u-s-navy-seals,https://www.ign.com/games/socom-ii-us-navy-seals,8.8,https://www.metacritic.com/game/socom-ii-u-s-navy-seals,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00011026-socom-ii-u-s-navy-seals.htm,13,87
Time Crisis 3,2003,Tir au pistolet optique,"Débarqué en 2003 sur PS2, Time Crisis 3 reprend le gameplay frénétique de la saga d'arcade en y apportant une innovation majeure : le changement d'arme à la volée. En plus du pistolet traditionnel, le joueur peut basculer en temps réel vers un fusil à pompe, une mitraillette ou un lance-roquettes pour s'adapter aux menaces. Compatible avec le pistolet G-Con 2, le jeu offre des sensations de tir immédiates et particulièrement intenses. C'est un sommet du genre lightgun sur console de salon.",PS2,time-crisis-3,https://www.ign.com/games/time-crisis-3,8.4,https://www.metacritic.com/game/time-crisis-3,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00011063-time-crisis-3.htm,14,81
Project Zero,2001,Horreur,"Project Zero, chef-d'œuvre du survival horror sorti en 2001 sur PS2, se distingue par son ambiance particulièrement angoissante inspirée du folklore japonais. On y suit Miku Hinasaki, partie explorer un manoir hanté à la recherche de son frère disparu. Pour se défendre contre les esprits vengeurs qui hantent les lieux, l'héroïne doit utiliser la Camera Obscura, un appareil photo magique capable de capturer les spectres. Sa tension constante et sa réalisation esthétique magnifique en font un classique absolu de la peur.",PS2,project-zero,https://www.ign.com/games/fatal-frame,7.9,https://www.metacritic.com/game/project-zero,https://www.jeuxvideo.com/jeux/jeu-58878/,17,
Maximo,2001,Action-aventure,"Développé par Capcom et sorti en 2002 sur PS2, Maximo: Ghosts to Glory est un hommage brillant aux jeux de plateforme à l'ancienne de la saga Ghosts 'n Goblins. Le joueur y incarne le vaillant chevalier Maximo qui doit parcourir des mondes infestés de morts-vivants pour sauver sa fiancée des griffes du maléfique Achille. Le titre est célèbre pour sa difficulté exigeante et son système d'armure qui se détériore à chaque coup jusqu'à laisser le héros en caleçon. C'est une aventure colorée, nerveuse et très gratifiante.",PS2,maximo,https://www.ign.com/games/maximo-ghosts-to-glory,9.2,https://www.metacritic.com/game/maximo-ghosts-to-glory/,https://www.jeuxvideo.com/jeux/jeu-58854/,16,84
Burnout,2001,Course,"Sorti en 2001 sur PS2, Burnout pose les fondations d'une franchise culte dédiée à la vitesse pure et aux collisions spectaculaires. Le jeu propose de piloter des bolides à toute vitesse au milieu d'un trafic routier dense où le moindre choc peut être fatal. Remplir la jauge de Boost en frôlant les véhicules adverses permet d'atteindre des vitesses vertigineuses saisissantes. Sa physique d'accidents novatrice pour l'époque en a fait une référence de l'arcade automobile.",PS2,burnout,https://www.ign.com/games/burnout,7.8,https://www.metacritic.com/game/burnout,https://www.jeuxvideo.com/jeux/jeu-59360/,15,79
Black,2006,Tir à la première personne (FPS),"Paru en 2006 sur PlayStation 2, Black est un jeu de tir à la première personne pensé comme un véritable film d'action hollywoodien. Développé par Criterion Games, le titre impressionne par sa puissance sonore exceptionnelle et ses environnements hautement destructibles. Chaque fusillade s'accompagne d'une débauche d'effets visuels, de fumée et d'éclats de béton d'un réalisme saisissant sur cette génération. C'est une démonstration technique hallucinante qui offre des sensations de tir uniques.",PS2,black,https://www.ign.com/games/black,8.6,https://www.metacritic.com/game/black,https://www.jeuxvideo.com/jeux/jeu-63827/,13,77
Crash Bandicoot : la vengeance de Cortex,2001,Plateforme,"Crash Bandicoot : la vengeance de Cortex, sorti en 2001, marque le passage du célèbre marsupial sur la génération PS2. Dans cet épisode, le Dr. Neo Cortex crée Crunch, un super-bandicoot alimenté par les pouvoirs destructeurs des masques des Éléments. Le jeu reprend fidèlement la formule classique des niveaux en 3D tout en introduisant de nouveaux véhicules comme la boule de hamster ou le 4x4.",PS2,crash-bandicoot-la-vengeance-de-cortex,https://www.ign.com/games/crash-bandicoot-the-wrath-of-cortex,7.4,https://www.metacritic.com/game/crash-bandicoot-the-wrath-of-cortex/,https://www.jeuxvideo.com/jeux/jeu-58852/,14,66
SSX 3,2003,Course de snowboard,"Sorti en 2003, SSX 3 représente le sommet absolu du jeu de snowboard arcade sur la console de Sony. Le titre propose d'explorer une montagne entière découpée en trois pics reliés entre eux de manière totalement fluide sans temps de chargement. Le joueur peut exécuter des figures totalement démentielles et aériennes au son d'une bande-son électronique d'une efficacité redoutable. Sa sensation de liberté et son gameplay grisant en font un chef-d'œuvre impérissable de la PS2.",PS2,ssx-3,https://www.ign.com/games/ssx-3,9.4,https://www.metacritic.com/game/ssx-3,https://www.jeuxvideo.com/jeux/jeu-61807/,17,93
SSX,2000,Course de snowboard,"Lancé en 2000 en tant que titre de lancement de la PS2, SSX a révolutionné le genre du sport extrême grâce à son style visuel flashy et sa fluidité exemplaire. Le jeu met en scène des snowboarders déjantés s'affrontant sur des pistes spectaculaires truffées de tremplins géants et de raccourcis. L'exécution de Tricks extravagants permet de remplir une jauge de boost essentielle pour remporter les compétitions. C'est le coup d'envoi marquant d'une saga légendaire d'EA Sports.",PS2,ssx,https://www.ign.com/games/ssx-2000,9.3,https://www.metacritic.com/game/ssx,https://www.jeuxvideo.com/jeux/jeu-76176/,17,82
Mortal Kombat: Mystification,2005,Combat,"Commercialisé en 2004 sur PlayStation 2, Mortal Kombat: Mystification enrichit considérablement l'univers du jeu de baston emblématique avec un contenu colossal. Le jeu propose un mode Konquête scénarisé en monde ouvert permettant d'explorer les différents royaumes et de débloquer de nombreux secrets. En combat, chaque personnage dispose de multiples styles d'arts martiaux ainsi que des fameuses Fatalités brutales qui font la renommée de la série. C'est un titre incontournable pour les amateurs de jeux de combat sombres et sanglants.",PS2,mortal-kombat-mystification,https://www.ign.com/games/mortal-kombat-deception,8.8,https://www.metacritic.com/game/mortal-kombat-deception/,https://www.jeuxvideo.com/jeux/jeu-62644/,16,81
Grand Theft Auto III,2001,Action-aventure,"Sorti en 2001, GTA III a tout simplement révolutionné l'industrie du jeu vidéo en faisant passer la franchise à la 3D dans un monde ouvert d'une liberté inédite. Le joueur incarne Claude, un criminel muet cherchant à se venger dans la ville poisseuse et vivante de Liberty City. Libres de voler n'importe quel véhicule ou de remplir des missions pour divers parrains de la mafia, les joueurs ont découvert un gameplay fondateur. C'est le chef-d'œuvre absolu qui a défini le genre du jeu en monde ouvert moderne.",PS2,gta-iii,https://www.ign.com/games/grand-theft-auto-iii,9.6,https://www.metacritic.com/game/grand-theft-auto-iii/,https://www.jeuxvideo.com/jeux/jeu-57927/,18,97
Grand Theft Auto : Vice City,2002,Action,"Sorti en 2002 sur PS2, GTA Vice City plonge le joueur dans la peau de Tommy Vercetti, un truand fraîchement sorti de prison qui doit reconquérir les rues d'une ville inspirée du Miami des années 1980. Entre fusillades, courses-poursuites et kidnappings, le jeu offre un monde ouvert gigantesque à explorer librement, parsemé de missions principales et secondaires. Le joueur peut également devenir chauffeur de taxi, pompier ou ambulancier, et accroître ses affaires en achetant des lieux d'activité. Porté par une bande-son inoubliable et une ambiance rétro culte, GTA Vice City est l'un des opus les plus emblématiques de la série.",PS2,gta-vice-city,https://www.ign.com/games/grand-theft-auto-vice-city,9.7,https://www.metacritic.com/game/grand-theft-auto-vice-city,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00009528-grand-theft-auto-vice-city.htm,18,95
Grand Theft Auto : San Andreas,2004,Action-aventure,"Sorti en 2004 sur PS2, GTA San Andreas propulse le joueur dans la peau de Carl Johnson, dit CJ, de retour à Los Santos après le meurtre de sa mère et la dérive de son gang des Grove Street. Entre guerres de territoires, flics véreux et affaires familiales, l'aventure s'étend sur tout un État composé de trois villes immenses : Los Santos, San Fierro et Las Venturas. Personnalisation complète du héros, statistiques à faire évoluer, avions pilotables et activités en pagaille font de cet opus une révolution du monde ouvert. C'est tout simplement le jeu le plus vendu de la PlayStation 2 et l'un des sommets absolus de la saga.",PS2,gta-san-andreas,https://www.ign.com/games/grand-theft-auto-san-andreas,9.9,https://www.metacritic.com/game/grand-theft-auto-san-andreas/,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00012507-grand-theft-auto-san-andreas.htm,18,95
Grand Theft Auto : Liberty City Stories,2006,Action,"Sorti en 2006 sur PS2, GTA Liberty City Stories est un spin-off de GTA III qui propulse le joueur dans la peau de Tony Cipriani pour arpenter les rues d'un New York virtuel abritant une mine de malfrats. Le joueur doit accomplir les missions confiées par ses multiples relations, entre deux vols de voitures et autres méfaits. Le titre offre un monde ouvert dense et une bande-son rock rétro fidèle à l'esprit de la série. Porté par une ambiance de film de gangsters des années 1980, Liberty City Stories est une pépite souvent sous-estimée de la saga.",PS2,gta-liberty-city-stories,https://www.ign.com/games/grand-theft-auto-liberty-city-stories,8.0,https://www.metacritic.com/game/grand-theft-auto-liberty-city-stories,https://www.jeuxvideo.com/jeux/jeu-63799/,15,78
Grand Theft Auto : Vice City Stories,2007,Action,"Sorti en 2007 sur PS2, GTA Vice City Stories transpose sur console la version PSP en suivant Vic Vance, un militaire entraîné malgré lui dans les trafics de Vice City en 1984. Le joueur bâtit un véritable empire criminel grâce au nouveau mode Empire qui permet de racheter et de gérer les commerces de la ville entre deux missions. La nage, les jet-skis et une bande-son eighties savoureuse complètent ce retour dans les rues ensoleillées de GTA Vice City. Une aventure parallèle agréable qui prolonge l'univers culte de la saga.",PS2,gta-vice-city-stories,https://www.ign.com/games/grand-theft-auto-vice-city-stories,7.5,https://www.metacritic.com/game/grand-theft-auto-vice-city-stories/,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00017823-grand-theft-auto-vice-city-stories.htm,13,75
Metal Slug 3,2000,Run and gun,"Grand classique de l'arcade produit par SNK et réédité sur PS2 en 2004, Metal Slug 3 est un monument incontournable du run and gun. Le joueur y affronte des armées de soldats, des mutants et des extraterrestres à travers des niveaux déjantés d'une grande richesse visuelle. Le titre propose des chemins multiples, des véhicules mythiques comme le sous-marin ou l'éléphant armé, et des boss colossaux. Son animation en pixel art réalisée à la main reste un modèle d'excellence absolue.",PS2,metal-slug-3,https://www.ign.com/games/metal-slug-3,6.8,https://www.metacritic.com/game/metal-slug-3,https://www.jeuxvideo.com/jeux/jeu-59875/,16,76
Medal of Honor : Soleil Levant,2003,Tir à la première personne (FPS),"Sorti en 2003 sur PlayStation 2, Medal of Honor : Soleil Levant transporte le joueur sur le théâtre d'opérations du Pacifique durant la Seconde Guerre mondiale. L'aventure débute de manière spectaculaire lors de l'attaque historique de Pearl Harbor avant d'emmener le caporal Joseph Griffin dans les jungles d'Asie. Le jeu propose des fusillades intenses en solo ainsi qu'un mode coopératif très appréciable pour vivre la campagne à deux. C'est un épisode marquant pour les passionnés de grands récits historiques.",PS2,medal-of-honor-soleil-levant,https://www.ign.com/games/medal-of-honor-rising-sun,7.5,https://www.metacritic.com/game/medal-of-honor-rising-sun/,https://www.jeuxvideo.com/jeux/jeu-61692/,12,68
The Matrix: Path of Neo,2005,Action,"Sorti en 2005 sur PS2, The Matrix: Path of Neo permet d'incarner directement Neo et de revivre l'intégralité de la célèbre trilogie cinématographique des frères Wachowski. Le jeu met l'accent sur des arts martiaux spectaculaires, l'esquive de balles en bullet-time et des fusillades acrobatiques iconiques. Les joueurs peuvent revivre des scènes mythiques comme le combat contre les centaines de clones de l'Agent Smith. C'est une expérience d'action jubilatoire pour tous les passionnés de cet univers cyberpunk.",PS2,the-matrix-path-of-neo,https://www.ign.com/games/the-matrix-path-of-neo,6.5,https://www.metacritic.com/game/the-matrix-path-of-neo,https://www.jeuxvideo.com/jeux/jeu-63523/,11,69
Enter the Matrix,2003,Action,"Paru en 2003 parallèlement à la sortie du film Reloaded, Enter the Matrix propose une histoire originale s'entremêlant directement avec l'intrigue du long-métrage. Le joueur peut incarner Niobe ou Ghost à travers des combats de kung-fu câblés et des poursuites automobiles intenses. Le titre inclut plus d'une heure de séquences vidéo exclusives réalisées spécialement par les sœurs Wachowski avec les vrais acteurs. C'est un complément narratif captivant pour prolonger l'expérience du film.",PS2,enter-the-matrix,https://www.ign.com/games/enter-the-matrix,7.2,https://www.metacritic.com/game/enter-the-matrix,https://www.jeuxvideo.com/jeux/jeu-61666/,12,65
Prince of Persia : Les Deux Royaume,2005,Action-aventure,"Conclusion épique de la trilogie sortie en 2005 sur PS2, Prince of Persia : Les Deux Royaumes ramène le Prince dans sa cité natale de Babylone ravagée par la guerre. Le titre introduit une mécanique de double personnalité où le héros doit alterner entre sa forme humaine et son alter ego maléfique du Prince de Noirceur. Le gameplay parfait l'agilité acrobatique, les combats au corps à corps et les éliminations furtives à la Dague du Temps. C'est un final brillant pour une saga majeure des consoles 128 bits.",PS2,prince-of-persia-les-deux-royaume,https://www.ign.com/games/prince-of-persia-the-two-thrones,9,https://www.metacritic.com/game/prince-of-persia-the-two-thrones/,https://www.jeuxvideo.com/jeux/jeu-63601/,18,85
Prince of Persia : L'âme du guerrier,2004,Action-aventure,"Sorti en 2004 sur PlayStation 2, Prince of Persia : L'âme du guerrier adopte une orientation nettement plus sombre et brutale que son prédécesseur. Pour échapper à une créature temporelle imminente nommée le Dahaka, le Prince voyage sur une île maudite pour empêcher la création des Sables du Temps. Le système de combat est grandement enrichi grâce à la possibilité de manier deux armes simultanément et d'exécuter des enchaînements ravageurs. C'est un épisode intense à l'ambiance heavy metal marquée.",PS2,prince-of-persia-l-ame-du-guerrier,https://www.ign.com/games/prince-of-persia-warrior-within,8.5,https://www.metacritic.com/game/prince-of-persia-warrior-within/,https://www.jeuxvideo.com/jeux/jeu-55735/,16,83
Prince of Persia : Les Sables du Temps,2003,Action-aventure,"Chef-d'œuvre de plateforme et d'action sorti en 2003, Prince of Persia : Les Sables du Temps a réinventé la franchise avec une poésie et une fluidité remarquables. Grâce à la Dague du Temps, le joueur peut remonter le cours des événements pour corriger ses erreurs de saut ou ralentir ses ennemis lors des combats. La conception des niveaux offre des séquences d'acrobaties architecturales virtuoses dans un palais persan majestueux. C'est un titre culte salué pour sa narration exemplaire et son game design révolutionnaire.",PS2,prince-of-persia-les-sables-du-temps,https://www.ign.com/games/prince-of-persia-the-sands-of-time,9.6,https://www.metacritic.com/game/prince-of-persia-the-sands-of-time/,https://www.jeuxvideo.com/jeux/jeu-61689/,19,92
Pro Evolution Soccer 6,2006,Sport (football),"Considéré par de nombreux passionnés comme le meilleur jeu de football de tous les temps, Pro Evolution Soccer 6 est sorti en 2006 sur PS2. Le titre atteint un équilibre parfait entre réalisme tactique, physique de balle irréprochable et plaisir de jeu immédiat. La construction des actions y est gratifiante et chaque duel physique ressent sur le terrain une intensité rare. C'est un jeu légendaire qui a dominé les soirées de football virtuel sur console pendant des années.",PS2,pro-evolution-soccer-6,https://www.ign.com/games/winning-eleven-pro-evolution-soccer-2007,9,,https://www.jeuxvideo.com/jeux/jeu-64717/,18,
Primal,2003,Action-aventure,"Développé par le studio Sony Cambridge et sorti en 2003 sur PS2, Primal est un jeu d'action-aventure somptueux à l'ambiance gothique travaillée. On y suit Jennifer, une jeune femme projetée dans des royaumes démoniaques pour sauver son compagnon et rétablir l'équilibre du cosmos. Accompagnée de Gargouille, une créature de pierre capable de s'infiltrer partout, Jennifer peut se métamorphoser en diverses formes démoniaques dotées de capacités propres. Sa réalisation soignée et son doublage réussi en font un titre marquant.",PS2,primal,https://www.ign.com/games/primal-ps2,8,https://www.metacritic.com/game/primal,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00009572-primal.htm,16,
Le Seigneur des Anneaux : Le Retour du Roi,2003,Action-aventure,"Sorti en 2003 sur PS2, Le Seigneur des Anneaux : Le Retour du Roi est une adaptation magistrale du chef-d'œuvre cinématographique de Peter Jackson. Le jeu permet d'incarner les héros de la Communauté à travers des batailles épiques comme la défense du Gouffre de Helm ou les Champs du Pelennor. Le système de combat offre des enchaînements fluides et dévastateurs au milieu de dizaines d'ennemis affichés à l'écran. Jouable en coopération à deux, c'est l'un des meilleurs jeux d'action de sa génération.",PS2,le-seigneur-des-anneaux-le-retour-du-roi,https://www.ign.com/games/the-lord-of-the-rings-the-return-of-the-king,8.7,https://www.metacritic.com/game/the-lord-of-the-rings-the-return-of-the-king/,https://www.jeuxvideo.com/jeux/jeu-61932/,17,85
Le Seigneur des Anneaux : La Communauté de l'Anneau,2002,Action-aventure,"Sorti en 2002 sur PlayStation 2, Le Seigneur des Anneaux : La Communauté de l'Anneau propose une adaptation fidèle directement inspirée de l'œuvre littéraire de J.R.R. Tolkien. Contrairement aux adaptations des films, le jeu permet d'explorer des lieux absents du cinéma comme la Vieille Forêt ou la maison de Tom Bombadil. Le joueur contrôle tour à tour Frodon, Aragorn et Gandalf dans une quête mêlant exploration, énigmes et combats au sabre ou à la magie.",PS2,le-seigneur-des-anneaux-la-communaute-de-l-anneau,https://www.ign.com/games/the-lord-of-the-rings-the-fellowship-of-the-ring,6.7,https://www.metacritic.com/game/the-lord-of-the-rings-the-fellowship-of-the-ring/,https://www.jeuxvideo.com/jeux/jeu-61487/,13,59
James Bond 007 : Quitte ou Double,2004,Action,"James Bond 007 : Quitte ou Double, paru en 2004 sur PS2, offre une véritable expérience digne des plus grands blockbusters de la franchise cinématographique. Porté par le visage et la voix de Pierce Brosnan, le jeu adopte une vue à la troisième personne dynamique mêlant fusillades, couverture et gadgets high-tech. Le titre propose également des séquences de conduite spectaculaires élaborées par les créateurs de la série Need for Speed. C'est un sommet du jeu d'action d'espionnage sur cette génération de consoles.",PS2,james-bond-007-quitte-ou-double,https://www.ign.com/games/james-bond-007-everything-or-nothing,8.5,https://www.metacritic.com/game/james-bond-007-everything-or-nothing/,https://www.jeuxvideo.com/jeux/jeu-74394/,15,83
James Bond 007 : Nightfire,2002,Action,"Sorti en 2002 sur PS2, James Bond 007 : Nightfire est un jeu de tir à la première personne emblématique salué pour la richesse de sa campagne et son multijoueur démentiel. Le joueur y incarne l'agent secret britannique tentant de contrecarrer un complot nucléaire mondial orchestré depuis une station spatiale. L'aventure varie entre infiltration soignée, fusillades explosives et courses poursuites au volant de l'Aston Martin équipée de gadgets. Son mode multijoueur sur écran séparé reste légendaire pour toute une génération de joueurs.",PS2,james-bond-007-nightfire,https://www.ign.com/games/james-bond-007-nightfire,7,https://www.metacritic.com/game/james-bond-007-nightfire,https://www.jeuxvideo.com/jeux/jeu-74392/,13,78
James Bond 007 : Espion pour cible,2001,Action,"Paru en 2001 sur PS2, James Bond 007 : Espion pour cible est le premier opus de l'agent secret britannique conçu spécifiquement pour la génération 16 bits de Sony. Dans ce jeu de tir à la première personne, Bond doit contrecarrer les plans d'une organisation criminelle cherchant à remplacer des dirigeants mondiaux par des clones. Le gameplay associe des phases de tir classiques à l'utilisation de gadgets dissimulés comme un grappin ou un décodeur laser. C'est un titre pionnier qui a posé les bases des jeux d'espionnage de l'époque.",PS2,james-bond-007-espion-pour-cible,https://www.ign.com/games/james-bond-007-agent-under-fire,7.6,https://www.metacritic.com/game/james-bond-007-agent-under-fire/,https://www.jeuxvideo.com/jeux/jeu-60656/,14,72
Final Fantasy X-2,2003,RPG,"Suite directe du mythique dixième épisode, Final Fantasy X-2 est sorti sur PlayStation 2 en 2003 et se démarque par son ton résolument dynamique et pétillant. On y suit Yuna, Rikku et Paine, un trio de chasseuses de sphères parcourant un monde de Spira enfin libéré de sa menace millénaire. Le jeu réintroduit le mythique système de Vêtiments permettant de changer de classe en plein combat pour une grande réactivité tactique. Son rythme enlevé et la liberté accordée dans la progression en font un RPG à la fois rafraîchissant et complet.",PS2,final-fantasy-x-2,https://www.ign.com/games/final-fantasy-x-2,9.5,https://www.metacritic.com/game/final-fantasy-x-2,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00010212-final-fantasy-x-2.htm,17,85
Final Fantasy X,2001,RPG,"Premier épisode de la saga à fouler la PS2 en 2001, Final Fantasy X est un chef-d'œuvre du jeu de rôle qui a marqué l'histoire par ses graphismes somptueux et ses voix enregistrées. On y suit le voyage de Tidus et de l'invoqueuse Yuna à travers le monde poétique mais tragique de Spira pour terrasser l'entité destructrice Sin. Le système de combat au tour par tour dynamique (CTB) et le Sphérier pour faire évoluer les personnages offrent une profondeur stratégique immense. C'est un classique absolu doté d'une histoire poignante et inoubliable.",PS2,final-fantasy-x,https://www.ign.com/games/final-fantasy-x,9.5,https://www.metacritic.com/game/final-fantasy-x,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00003612-final-fantasy-x.htm,17,92
Project Eden,2001,Action-aventure,"Développé par le studio Core Design et sorti en 2001 sur PS2, Project Eden est un jeu d'action-aventure futuriste axé sur la réflexion et la coopération. Dans une cité gigantesque où les classes sociales sont réparties selon la hauteur des gratte-ciels, une équipe de quatre agents d'élite enquête dans les profondeurs industrielles. Le joueur doit alterner en temps réel entre les quatre spécialistes pour combiner leurs compétences uniques et résoudre des énigmes complexes. C'est un titre original et très prenant, particulièrement à plusieurs.",PS2,project-eden,https://www.ign.com/games/project-eden,7.8,https://www.metacritic.com/game/project-eden,https://www.jeuxvideo.com/jeux/jeu-58339/,15,71
Peter Jackson's King Kong : The Official Game of the Movie,2005,Action-aventure,"Développé par Michel Ancel et sorti en 2005, Peter Jackson's King Kong est une adaptation cinématographique magistrale qui plonge le joueur au cœur de Skull Island. L'aventure alterne brillamment entre une vue à la première personne immersive dans la peau de Jack Driscoll et des phases d'action brutales à la troisième personne aux commandes de King Kong. Sans interface à l'écran, le titre mise tout sur l'immersion, la gestion des ressources et la peur des créatures préhistoriques. C'est une référence absolue du jeu adapté de film.",PS2,peter-jacksons-king-kong-the-official-game-of-the-movie,https://www.ign.com/games/peter-jacksons-king-kong-the-official-game-of-the-movie,8,https://www.metacritic.com/game/peter-jacksons-king-kong-the-official-game-of-the-movie/,https://www.jeuxvideo.com/jeux/jeu-63360/,15,80
Paris-Dakar Rally,2001,Course de rallye,"Sorti en 2001 sur PlayStation 2, Paris-Dakar Rally transporte les amateurs de mécanique au cœur du rallye-raid le plus célèbre et exigeant du monde. Le titre permet de piloter des voitures, des motos et des camions officiels à travers les dunes et les pistes rocheuses d'Afrique. La navigation y joue un rôle primordial où il convient de suivre attentivement le roadbook pour ne pas se perdre dans l'immensité du désert. C'est une simulation tout-terrain originale réservée aux passionnés d'endurance.",PS2,paris-dakar-rally,https://www.ign.com/games/paris-dakar-rally,2.5,https://www.metacritic.com/game/paris-dakar-rally,https://www.jeuxvideo.com/jeux/jeu-58111/,9,36
Battlefield 2: Modern Combat,2005,Tir à la première personne (FPS),"Sorti en 2005 sur PS2, Battlefield 2: Modern Combat adapte la célèbre franchise de jeu de tir militaire sur console avec une innovation majeure nommée le « Hotswapping ». Cette mécanique permet au joueur de basculer instantanément la caméra vers n'importe quel soldat allié sur le champ de bataille en pressant une touche. La campagne offre ainsi un rythme de combat frénétique et une dimension tactique très dynamique. Son mode multijoueur sur console était également très réputé à sa sortie.",PS2,bf2,https://www.ign.com/games/battlefield-2-modern-combat,8.5,https://www.metacritic.com/game/battlefield-2-modern-combat,https://www.jeuxvideo.com/jeux/jeu-62752/,15,77
Time Crisis 2,2001,Tir au pistolet optique,"Paru en 2001 sur PS2, Time Crisis 2 est le jeu de tir sur borne d'arcade adapté sur console qui a introduit la possibilité de jouer à deux en écran séparé ou en réseau. Le joueur incarne des agents secrets qui affrontent des syndicats du crime à travers des fusillades explosives grâce au pistolet optique G-Con 2. Le système de couverture sous forme de pédale ou bouton garantit des affrontements nerveux où les réflexes sont mis à rude épreuve. C'est une valeur sûre du jeu de tir arcade à la maison.",PS2,time-crisis-2,https://www.ign.com/games/time-crisis-ii,8.7,https://www.metacritic.com/game/time-crisis-ii,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00005212-time-crisis-ii.htm,14,81
Virtua Tennis 4,2011,Sport (tennis),"Sorti en 2011 sur PS3, Virtua Tennis 4 pousse la célèbre franchise d'arcade de SEGA à son sommet avec une réalisation technique irréprochable. Le jeu propose de créer son joueur et de parcourir un mode World Tour structuré comme un jeu de plateau tactique pour atteindre la place de numéro un mondial. Le titre intègre une jauge de coup spécial spectaculaire qui se remplit en respectant le style de jeu de son athlète sur le court. Compatible avec le Playstation Move, c'est un jeu de tennis incroyablement fun et addictif.",PS3,virtua-tennis-4,https://www.ign.com/games/virtua-tennis-4,7,https://www.metacritic.com/game/virtua-tennis-4,https://www.jeuxvideo.com/jeux/jeu-75538/,13,69
Resistance 3,2011,Tir à la première personne (FPS),"Dernier volet de la trilogie développée par Insomniac Games sur PS3 en 2011, Resistance 3 propose une plongée sombre et poignante dans une Amérique dévastée par les Chimères. Le joueur y incarne Joseph Capelli entreprenant un voyage désespéré à travers des ruines désolées pour tenter de détruire la menace extraterrestre. Le titre marque le retour apprécié de la roue des armes permettant d'accumuler un arsenal fantastique et améliorable au fil des combats. Sa campagne intense et son ambiance apocalyptique en font un excellent jeu de tir.",PS3,resistance-3,https://www.ign.com/games/resistance-3,9,https://www.metacritic.com/game/resistance-3,https://www.jeuxvideo.com/jeux/playstation-3-ps3/00034407-resistance-3.htm,14,83
Sports Champions,2010,Sport (compilation),"Disponible dès 2010 pour le lancement du PlayStation Move sur PS3, Sports Champions est la vitrine technologique idéale pour les contrôleurs de mouvement de Sony. Le titre rassemble six disciplines sportives variées telles que le tir à l'arc, le frisbee golf, le tennis de table ou encore les duels de gladiateurs. La précision de la reconnaissance de mouvements permet de doser la puissance et l'effet de chaque geste avec un réalisme étonnant. C'est un jeu convivial et parfait pour s'amuser en famille ou entre amis.",PS3,sports-champions,https://www.ign.com/games/sports-champions,7.5,https://www.metacritic.com/game/sports-champions,https://www.jeuxvideo.com/jeux/playstation-3-ps3/00036365-sports-champions.htm,15,76
Call of Duty: Modern Warfare 2,2009,Tir à la première personne (FPS),"Incontournable jeu de tir à la première personne paru en 2009, Call of Duty: Modern Warfare 2 a marqué l'histoire du jeu vidéo par son rythme haletant et ses scènes d'action hollywoodiennes. Sa campagne solo fait voyager le joueur à travers des théâtres d'opérations variés allant des favelas de Rio au cœur du Pentagone. C'est également son mode multijoueur ultra-addictif avec ses killstreaks et ses armes personnalisables qui a fédéré des millions de joueurs en ligne. Un classique absolu du genre FPS.",PS3,call-of-duty-modern-warfare-2,https://www.ign.com/games/call-of-duty-modern-warfare-2-2009,9.5,https://www.metacritic.com/game/call-of-duty-modern-warfare-2,https://www.jeuxvideo.com/jeux/jeu-70136/,18,94
Buzz! Quiz World,2009,Quiz,"Sorti en 2009 sur PS3, Buzz! Quiz World transforme votre salon en un véritable plateau de jeu télévisé interactif grâce aux manettes Buzzers sans fil. Le titre propose des milliers de questions de culture générale abordant le cinéma, la musique, le sport ou l'histoire dans un habillage très dynamique. Le présentateur virtuel charismatique distribue les piques et les points dans des manches aux règles variées et piégées.",PS3,buzz-quiz-world,https://www.ign.com/games/buzz-quiz-world,9,https://www.metacritic.com/game/buzz-quiz-world,https://www.jeuxvideo.com/jeux/jeu-72561/,15,80
